JayID,Jays.USFWBand,Sex,AgeKnown,NatalNest,FBreeder,Jays_1.USFWBand,MBreeder,Jays_2.USFWBand,HatchDate,MeasDate,Expr1,LastObsDate,FldgDate
-CAP,1603-51723,F,Y,EBAY083,P-YQ,1063-43180,C-RP,1063-43535,4/23/2008,5/4/2008,11,7/20/2011,5/11/2008
-CnR,1603-51724,F,Y,EBAY083,P-YQ,1063-43180,C-RP,1063-43535,4/23/2008,5/4/2008,11,7/20/2011,5/11/2008
-CAA,1603-51725,F,Y,EBAY083,P-YQ,1063-43180,C-RP,1063-43535,4/23/2008,5/4/2008,11,7/20/2011,5/11/2008
CO-R,1573-65926,F,Y,EBAY041,P-YQ,1063-43180,ZY-B,1453-72740,4/2/2004,4/13/2004,11,7/20/2011,4/21/2004
CL-R,1573-65927,F,Y,EBAY041,P-YQ,1063-43180,ZY-B,1453-72740,4/2/2004,4/13/2004,11,7/20/2011,4/21/2004
CF-R,1573-65928,M,Y,EBAY041,P-YQ,1063-43180,ZY-B,1453-72740,4/2/2004,4/13/2004,11,7/20/2011,4/21/2004
CA-n,1573-65929,M,Y,EBAY041,P-YQ,1063-43180,ZY-B,1453-72740,4/2/2004,4/13/2004,11,7/20/2011,4/21/2004
PCW-,1573-66586,M,Y,EBAY051,P-YQ,1063-43180,ZY-B,1453-72740,4/2/2005,4/13/2005,11,7/20/2011,4/21/2005
OCW-,1573-66587,M,Y,EBAY051,P-YQ,1063-43180,ZY-B,1453-72740,4/2/2005,4/13/2005,11,7/20/2011,4/21/2005
LCW-,1573-66588,F,Y,EBAY051,P-YQ,1063-43180,ZY-B,1453-72740,4/2/2005,4/13/2005,11,7/20/2011,4/21/2005
H-WCO,1603-17421,M,Y,EBAY064,P-YQ,1063-43180,ZY-B,1453-72740,5/19/2006,5/30/2006,11,7/20/2011,6/7/2006
H-RCO,1603-17422,M,Y,EBAY064,P-YQ,1063-43180,ZY-B,1453-72740,5/19/2006,5/30/2006,11,7/20/2011,6/7/2006
AY-Q,1713-13312,F,Y,EBAY092,P-YQ,1063-43180,C-RP,1063-43535,5/11/2009,5/22/2009,11,7/20/2011,5/31/2009
AB-Q,1713-13313,M,Y,EBAY092,P-YQ,1063-43180,C-RP,1063-43535,5/11/2009,5/22/2009,11,7/20/2011,5/31/2009
nP-Q,1713-13314,M,Y,EBAY092,P-YQ,1063-43180,C-RP,1063-43535,5/11/2009,5/22/2009,11,7/20/2011,5/31/2009
-nOQ,1713-13692,F,Y,EBAY103,P-YQ,1063-43180,H-CWG,1603-51773,5/16/2010,5/27/2010,11,7/20/2011,6/2/2010
-nLQ,1713-13693,F,Y,EBAY103,P-YQ,1063-43180,H-CWG,1603-51773,5/16/2010,5/27/2010,11,7/20/2011,6/2/2010
-nHQ,1713-13694,M,Y,EBAY103,P-YQ,1063-43180,H-CWG,1603-51773,5/16/2010,5/27/2010,11,7/20/2011,6/2/2010
OBQ-,1713-49207,M,Y,EBAY112,P-YQ,1063-43180,H-CWG,1603-51773,4/13/2011,4/24/2011,11,7/20/2011,4/30/2011
OPQ-,1713-49208,M,Y,EBAY112,P-YQ,1063-43180,H-CWG,1603-51773,4/13/2011,4/24/2011,11,7/20/2011,4/30/2011
OOQ-,1713-49209,F,Y,EBAY112,P-YQ,1063-43180,H-CWG,1603-51773,4/13/2011,4/24/2011,11,7/20/2011,4/30/2011
WnC-,1513-50914,F,Y,SFLA011,-BZP,1063-43190,K-FZW,1063-43191,4/11/2001,4/22/2001,11,4/12/2006,5/1/2001
RnC-,1513-50915,F,Y,SFLA011,-BZP,1063-43190,K-FZW,1063-43191,4/11/2001,4/22/2001,11,4/12/2006,5/1/2001
GnC-,1513-50916,F,Y,SFLA011,-BZP,1063-43190,K-FZW,1063-43191,4/11/2001,4/22/2001,11,4/12/2006,5/1/2001
YnC-,1513-50917,M,Y,SFLA011,-BZP,1063-43190,K-FZW,1063-43191,4/11/2001,4/22/2001,11,4/12/2006,5/1/2001
-LCn,1603-16687,F,Y,SFLA061,-BZP,1063-43190,K-FZW,1063-43191,4/9/2006,4/20/2006,11,4/12/2006,4/28/2006
-FCB,1603-16688,F,Y,SFLA061,-BZP,1063-43190,K-FZW,1063-43191,4/9/2006,4/20/2006,11,4/12/2006,4/28/2006
-ACn,1603-16689,F,Y,SFLA061,-BZP,1063-43190,K-FZW,1063-43191,4/9/2006,4/20/2006,11,4/12/2006,4/28/2006
CB-n,1573-66561,M,Y,SFLA043,-BZP,1063-43190,K-FZW,1063-43191,5/24/2004,6/4/2004,11,4/12/2006,6/11/2004
CP-O,1573-66562,F,Y,SFLA043,-BZP,1063-43190,K-FZW,1063-43191,5/24/2004,6/4/2004,11,4/12/2006,6/11/2004
CO-n,1573-66563,M,Y,SFLA043,-BZP,1063-43190,K-FZW,1063-43191,5/24/2004,6/4/2004,11,4/12/2006,6/11/2004
CL-n,1573-66564,M,Y,SFLA043,-BZP,1063-43190,K-FZW,1063-43191,5/24/2004,6/4/2004,11,4/12/2006,6/11/2004
CO-n,1573-65920,F,Y,SFLA042,-BZP,1063-43190,K-FZW,1063-43191,3/31/2004,4/11/2004,11,4/12/2006,4/20/2004
CL-n,1573-65921,F,Y,SFLA042,-BZP,1063-43190,K-FZW,1063-43191,3/31/2004,4/11/2004,11,4/12/2006,4/20/2004
CF-n,1573-65922,F,Y,SFLA042,-BZP,1063-43190,K-FZW,1063-43191,3/31/2004,4/11/2004,11,4/12/2006,4/20/2004
cn-n,9999-99997,F,Y,SFLA042,-BZP,1063-43190,K-FZW,1063-43191,3/31/2004,4/11/2004,11,4/12/2006,4/20/2004
C-YL,1063-43566,F,Y,SFLA033,-BZP,1063-43190,K-FZW,1063-43191,5/3/2003,5/14/2003,11,4/12/2006,5/21/2003
C-BL,1063-43567,F,Y,SFLA033,-BZP,1063-43190,K-FZW,1063-43191,5/3/2003,5/14/2003,11,4/12/2006,5/21/2003
C-Pn,1063-43568,F,Y,SFLA033,-BZP,1063-43190,K-FZW,1063-43191,5/3/2003,5/14/2003,11,4/12/2006,5/21/2003
fHC-fH,1063-43160,M,Y,SFLA022,-BZP,1063-43190,K-FZW,1063-43191,5/14/2002,5/25/2002,11,4/12/2006,6/1/2002
AC-n,1063-43161,M,Y,SFLA022,-BZP,1063-43190,K-FZW,1063-43191,5/14/2002,5/25/2002,11,4/12/2006,6/1/2002
WCP-,1573-97929,F,Y,SFLA051,-BZP,1063-43190,K-FZW,1063-43191,4/12/2005,4/23/2005,11,4/12/2006,4/29/2005
RCn-,1573-97930,F,Y,SFLA051,-BZP,1063-43190,K-FZW,1063-43191,4/12/2005,4/23/2005,11,4/12/2006,4/29/2005
GCn-,1573-97931,M,Y,SFLA051,-BZP,1063-43190,K-FZW,1063-43191,4/12/2005,4/23/2005,11,4/12/2006,4/29/2005
SFLn,9999-99999,F,Y,SFLA051,-BZP,1063-43190,K-FZW,1063-43191,4/12/2005,4/23/2005,11,4/12/2006,4/29/2005
CL-P,1573-65973,F,Y,NPOL041,O-WQ,1063-43196,YP-C,1513-50302,4/9/2004,4/20/2004,11,3/13/2013,4/27/2004
CF-P,1573-65974,F,Y,NPOL041,O-WQ,1063-43196,YP-C,1513-50302,4/9/2004,4/20/2004,11,3/13/2013,4/27/2004
CA-P,1573-65975,M,Y,NPOL041,O-WQ,1063-43196,YP-C,1513-50302,4/9/2004,4/20/2004,11,3/13/2013,4/27/2004
-CnH,1603-51786,M,Y,NPOL082,O-WQ,1063-43196,PCR-,1573-66596,5/11/2008,5/22/2008,11,3/13/2013,5/29/2008
-cna,1603-51787,F,Y,NPOL082,O-WQ,1063-43196,PCR-,1573-66596,5/11/2008,5/22/2008,11,3/13/2013,5/29/2008
H-WCG,1603-17270,M,Y,NPOL062,O-WQ,1063-43196,YP-C,1513-50302,4/26/2006,5/7/2006,11,3/13/2013,5/14/2006
H-RCG,1603-17271,F,Y,NPOL062,O-WQ,1063-43196,YP-C,1513-50302,4/26/2006,5/7/2006,11,3/13/2013,5/14/2006
H-GCG,1603-17272,F,Y,NPOL062,O-WQ,1063-43196,YP-C,1513-50302,4/26/2006,5/7/2006,11,3/13/2013,5/14/2006
H-HCG,1603-17273,F,Y,NPOL062,O-WQ,1063-43196,YP-C,1513-50302,4/26/2006,5/7/2006,11,3/13/2013,5/14/2006
-YWQ,1713-13364,F,Y,EAGR101,O-WQ,1063-43196,P-AQ,1603-17451,4/11/2010,4/22/2010,11,3/13/2013,4/29/2010
-nRQ,1713-13365,F,Y,EAGR101,O-WQ,1063-43196,P-AQ,1603-17451,4/11/2010,4/22/2010,11,3/13/2013,4/29/2010
-nYQ,1713-13366,M,Y,EAGR101,O-WQ,1063-43196,P-AQ,1603-17451,4/11/2010,4/22/2010,11,3/13/2013,4/29/2010
-YGQ,1713-13367,F,Y,EAGR101,O-WQ,1063-43196,P-AQ,1603-17451,4/11/2010,4/22/2010,11,3/13/2013,4/29/2010
OWQ-,1713-13981,F,Y,EAGR111,O-WQ,1063-43196,P-AQ,1603-17451,3/30/2011,4/10/2011,11,3/13/2013,4/17/2011
ORQ-,1713-13982,M,Y,EAGR111,O-WQ,1063-43196,P-AQ,1603-17451,3/30/2011,4/10/2011,11,3/13/2013,4/17/2011
nGQ-,1713-13983,F,Y,EAGR111,O-WQ,1063-43196,P-AQ,1603-17451,3/30/2011,4/10/2011,11,3/13/2013,4/17/2011
RQ-L,1713-49349,F,Y,EAGR121,O-WQ,1063-43196,P-AQ,1603-17451,4/18/2012,4/29/2012,11,3/13/2013,5/6/2012
RQ-H,1713-49350,F,Y,EAGR121,O-WQ,1063-43196,P-AQ,1603-17451,4/18/2012,4/29/2012,11,3/13/2013,5/6/2012
nQ-A,1713-49351,M,Y,EAGR121,O-WQ,1063-43196,P-AQ,1603-17451,4/18/2012,4/29/2012,11,3/13/2013,5/6/2012
PCA-,1573-97999,M,Y,REED053,UC-OG,1063-43487,RC-W,1063-42816,5/4/2005,5/15/2005,11,8/10/2006,5/21/2005
OCA-,1573-98000,M,Y,REED053,UC-OG,1063-43487,RC-W,1063-42816,5/4/2005,5/15/2005,11,8/10/2006,5/21/2005
nA-Q,1603-51891,F,Y,BINX093,C-RO,1063-43556,LC-YU,1063-43096,4/30/2009,5/11/2009,11,3/13/2013,5/18/2009
PQ-R,1713-49374,M,Y,CATB121,C-RO,1063-43556,H-GCB,1603-17413,5/2/2012,5/13/2012,11,3/13/2013,5/20/2012
nQ-G,1713-49375,F,Y,CATB121,C-RO,1063-43556,H-GCB,1603-17413,5/2/2012,5/13/2012,11,3/13/2013,5/20/2012
-ACF,1603-17255,M,Y,RAUL061,C-fHW,1063-43574,CW-H,1573-66534,4/22/2006,5/3/2006,11,7/21/2014,5/8/2006
RY-Q,1603-51838,M,Y,RAUL091,C-fHW,1063-43574,CW-H,1573-66534,4/12/2009,4/23/2009,11,7/21/2014,5/1/2009
RB-Q,1603-51839,F,Y,RAUL091,C-fHW,1063-43574,CW-H,1573-66534,4/12/2009,4/23/2009,11,7/21/2014,5/1/2009
nP-Q,1603-51840,F,Y,RAUL091,C-fHW,1063-43574,CW-H,1573-66534,4/12/2009,4/23/2009,11,7/21/2014,5/1/2009
-nAQ,1713-13636,M,Y,RAUL102,C-fHW,1063-43574,CW-H,1573-66534,4/20/2010,5/1/2010,11,7/21/2014,5/8/2010
-HCn,1603-17299,F,Y,MCBY062,C-BO,1063-43580,L-QL,1063-48612,5/6/2006,5/17/2006,11,11/16/2011,5/23/2006
-BCn,1603-17300,F,Y,MCBY062,C-BO,1063-43580,L-QL,1063-48612,5/6/2006,5/17/2006,11,11/16/2011,5/23/2006
-PCn,1603-17401,F,Y,MCBY062,C-BO,1063-43580,L-QL,1063-48612,5/6/2006,5/17/2006,11,11/16/2011,5/23/2006
-YHQ,1713-13684,M,Y,NWES103,C-BO,1063-43580,PC-Y,1713-13337,5/12/2010,5/23/2010,11,11/16/2011,5/29/2010
-YAQ,1713-13685,M,Y,NWES103,C-BO,1063-43580,PC-Y,1713-13337,5/12/2010,5/23/2010,11,11/16/2011,5/29/2010
nBQ-,1713-49301,M,Y,NWES113,C-BO,1063-43580,PC-Y,1713-13337,6/2/2011,6/13/2011,11,11/16/2011,6/20/2011
nPQ-,1713-49302,M,Y,NWES113,C-BO,1063-43580,PC-Y,1713-13337,6/2/2011,6/13/2011,11,11/16/2011,6/20/2011
POQ-H,1713-49303,F,Y,NWES113,C-BO,1063-43580,PC-Y,1713-13337,6/2/2011,6/13/2011,11,11/16/2011,6/20/2011
-CnY,1603-51731,F,Y,SCRP083,C-AR,1063-43582,B-OQ,1063-43115,4/26/2008,5/7/2008,11,5/13/2013,5/15/2008
-CLB,1603-51732,M,Y,SCRP083,C-AR,1063-43582,B-OQ,1063-43115,4/26/2008,5/7/2008,11,5/13/2013,5/15/2008
-CnP,1603-51733,M,Y,SCRP083,C-AR,1063-43582,B-OQ,1063-43115,4/26/2008,5/7/2008,11,5/13/2013,5/15/2008
CFP-,1603-51118,M,Y,SCRP072,C-AR,1063-43582,B-OQ,1063-43115,4/27/2007,5/8/2007,11,5/13/2013,5/15/2007
CAn-,1603-51119,F,Y,SCRP072,C-AR,1063-43582,B-OQ,1063-43115,4/27/2007,5/8/2007,11,5/13/2013,5/15/2007
BCn-,1573-97964,M,Y,SCRP051,C-AR,1063-43582,B-OQ,1063-43115,4/19/2005,4/30/2005,11,5/13/2013,5/3/2005
PCO-,1573-97965,M,Y,SCRP051,C-AR,1063-43582,B-OQ,1063-43115,4/19/2005,4/30/2005,11,5/13/2013,5/3/2005
OCn-,1573-97966,F,Y,SCRP051,C-AR,1063-43582,B-OQ,1063-43115,4/19/2005,4/30/2005,11,5/13/2013,5/3/2005
-HCA,1603-17230,F,Y,SCRP061,C-AR,1063-43582,B-OQ,1063-43115,4/16/2006,4/27/2006,11,5/13/2013,5/4/2006
-BCA,1603-17231,F,Y,SCRP061,C-AR,1063-43582,B-OQ,1063-43115,4/16/2006,4/27/2006,11,5/13/2013,5/4/2006
-PCA,1603-17232,F,Y,SCRP061,C-AR,1063-43582,B-OQ,1063-43115,4/16/2006,4/27/2006,11,5/13/2013,5/4/2006
-GCP,1603-16692,M,Y,LARR061,C-fHG,1063-43593,C-WW,1063-43531,4/10/2006,4/21/2006,11,3/13/2013,4/26/2006
-HCP,1603-16693,F,Y,LARR061,C-fHG,1063-43593,C-WW,1063-43531,4/10/2006,4/21/2006,11,3/13/2013,4/26/2006
-BCP,1603-16694,M,Y,LARR061,C-fHG,1063-43593,C-WW,1063-43531,4/10/2006,4/21/2006,11,3/13/2013,4/26/2006
-CWO,1603-51178,M,Y,LARR081,C-fHG,1063-43593,C-WW,1063-43531,4/1/2008,4/12/2008,11,3/13/2013,4/20/2008
-CWL,1603-51179,M,Y,LARR081,C-fHG,1063-43593,C-WW,1063-43531,4/1/2008,4/12/2008,11,3/13/2013,4/20/2008
OW-Q,1603-51881,F,Y,LARR091,C-fHG,1063-43593,C-WW,1063-43531,4/24/2009,5/5/2009,11,3/13/2013,5/12/2009
nR-Q,1603-51882,F,Y,LARR091,C-fHG,1063-43593,C-WW,1063-43531,4/24/2009,5/5/2009,11,3/13/2013,5/12/2009
-nBQ,1713-13394,M,Y,LARR101,C-fHG,1063-43593,C-WW,1063-43531,4/17/2010,4/28/2010,11,3/13/2013,5/3/2010
-OPQ,1713-13395,F,Y,LARR101,C-fHG,1063-43593,C-WW,1063-43531,4/17/2010,4/28/2010,11,3/13/2013,5/3/2010
-OOQ,1713-13396,F,Y,LARR101,C-fHG,1063-43593,C-WW,1063-43531,4/17/2010,4/28/2010,11,3/13/2013,5/3/2010
-OLQ,1713-13397,F,Y,LARR101,C-fHG,1063-43593,C-WW,1063-43531,4/17/2010,4/28/2010,11,3/13/2013,5/3/2010
nWQ-,1713-14000,M,Y,LARR111,C-fHG,1063-43593,C-WW,1063-43531,3/31/2011,4/11/2011,11,3/13/2013,4/17/2011
nRQ-,1713-49001,F,Y,LARR111,C-fHG,1063-43593,C-WW,1063-43531,3/31/2011,4/11/2011,11,3/13/2013,4/17/2011
WGQ-,1713-49002,M,Y,LARR111,C-fHG,1063-43593,C-WW,1063-43531,3/31/2011,4/11/2011,11,3/13/2013,4/17/2011
WYQ-,1713-49003,M,Y,LARR111,C-fHG,1063-43593,C-WW,1063-43531,3/31/2011,4/11/2011,11,3/13/2013,4/17/2011
PRQ-H,1713-49286,M,Y,LARR112,C-fHG,1063-43593,C-WW,1063-43531,5/23/2011,6/3/2011,11,3/13/2013,6/10/2011
PGQ-H,1713-49287,M,Y,LARR112,C-fHG,1063-43593,C-WW,1063-43531,5/23/2011,6/3/2011,11,3/13/2013,6/10/2011
PYQ-H,1713-49288,F,Y,LARR112,C-fHG,1063-43593,C-WW,1063-43531,5/23/2011,6/3/2011,11,3/13/2013,6/10/2011
PBQ-H,1713-49289,F,Y,LARR112,C-fHG,1063-43593,C-WW,1063-43531,5/23/2011,6/3/2011,11,3/13/2013,6/10/2011
-CYW,1603-51524,M,Y,SCUT081,LC-AU,1063-43078,L-WQ,1573-65905,4/6/2008,4/17/2008,11,3/15/2009,4/25/2008
-CYR,1603-51525,M,Y,SCUT081,LC-AU,1063-43078,L-WQ,1573-65905,4/6/2008,4/17/2008,11,3/15/2009,4/25/2008
-CnG,1603-51526,M,Y,SCUT081,LC-AU,1063-43078,L-WQ,1573-65905,4/6/2008,4/17/2008,11,3/15/2009,4/25/2008
-CnY,1603-51527,M,Y,SCUT081,LC-AU,1063-43078,L-WQ,1573-65905,4/6/2008,4/17/2008,11,3/15/2009,4/25/2008
CWL-,1603-51128,M,Y,SCUT072,LC-AU,1063-43078,L-WQ,1573-65905,4/29/2007,5/10/2007,11,3/15/2009,5/16/2007
CRL-,1603-51129,M,Y,SCUT072,LC-AU,1063-43078,L-WQ,1573-65905,4/29/2007,5/10/2007,11,3/15/2009,5/16/2007
CGn-,1603-51130,F,Y,SCUT072,LC-AU,1063-43078,L-WQ,1573-65905,4/29/2007,5/10/2007,11,3/15/2009,5/16/2007
-OCR,1603-16653,M,Y,SCUT061,LC-AU,1063-43078,L-WQ,1573-65905,4/4/2006,4/15/2006,11,3/15/2009,4/22/2006
-LCR,1603-16654,F,Y,SCUT061,LC-AU,1063-43078,L-WQ,1573-65905,4/4/2006,4/15/2006,11,3/15/2009,4/22/2006
-FCR,1603-16655,F,Y,SCUT061,LC-AU,1063-43078,L-WQ,1573-65905,4/4/2006,4/15/2006,11,3/15/2009,4/22/2006
-ACR,1603-16656,M,Y,SCUT061,LC-AU,1063-43078,L-WQ,1573-65905,4/4/2006,4/15/2006,11,3/15/2009,4/22/2006
PCn-,1573-97981,F,Y,SCUT052,LC-AU,1063-43078,L-WQ,1573-65905,4/27/2005,5/8/2005,11,3/15/2009,5/11/2005
OCn-,1573-97982,F,Y,SCUT052,LC-AU,1063-43078,L-WQ,1573-65905,4/27/2005,5/8/2005,11,3/15/2009,5/11/2005
CW-F,1573-65989,M,Y,SCUT041,LC-AU,1063-43078,L-WQ,1573-65905,4/10/2004,4/21/2004,11,3/15/2009,4/29/2004
CR-F,1573-65990,M,Y,SCUT041,LC-AU,1063-43078,L-WQ,1573-65905,4/10/2004,4/21/2004,11,3/15/2009,4/29/2004
CG-n,1573-65991,F,Y,SCUT041,LC-AU,1063-43078,L-WQ,1573-65905,4/10/2004,4/21/2004,11,3/15/2009,4/29/2004
GG-C,1513-50169,F,Y,LAZT991,A-PM,1163-68243,Y-PM,1453-78366,4/8/1999,4/19/1999,11,12/10/2001,4/25/1999
YG-C,1513-50170,M,Y,LAZT991,A-PM,1163-68243,Y-PM,1453-78366,4/8/1999,4/19/1999,11,12/10/2001,4/25/1999
Bn-C,1513-50171,F,Y,LAZT991,A-PM,1163-68243,Y-PM,1453-78366,4/8/1999,4/19/1999,11,12/10/2001,4/25/1999
FnC-,1513-50951,F,Y,DICE012,ZPY-,1163-68251,ZBW-,1043-44215,4/25/2001,5/6/2001,11,3/12/2003,5/14/2001
AnC-,1513-50952,M,Y,DICE012,ZPY-,1163-68251,ZBW-,1043-44215,4/25/2001,5/6/2001,11,3/12/2003,5/14/2001
LnC-,1513-50936,M,Y,CACT011,ZLW-,1163-68260,W-FM,1063-42890,4/19/2001,4/30/2001,11,6/14/2001,5/2/2001
OBC-,1513-50937,M,Y,CACT011,ZLW-,1163-68260,W-FM,1063-42890,4/19/2001,4/30/2001,11,6/14/2001,5/2/2001
PBC-,1513-50938,F,Y,CACT011,ZLW-,1163-68260,W-FM,1063-42890,4/19/2001,4/30/2001,11,6/14/2001,5/2/2001
YB-C,1513-50182,F,Y,FARS992,ZPO-,1163-68261,Z-GL,1453-63697,4/11/1999,4/22/1999,11,2/15/2005,4/29/1999
BB-C,1513-50183,F,Y,FARS992,ZPO-,1163-68261,Z-GL,1453-63697,4/11/1999,4/22/1999,11,2/15/2005,4/29/1999
PB-C,1513-50184,F,Y,FARS992,ZPO-,1163-68261,Z-GL,1453-63697,4/11/1999,4/22/1999,11,2/15/2005,4/29/1999
WC-B,1063-42893,M,Y,FARS022,ZPO-,1163-68261,Z-GL,1453-63697,4/15/2002,4/26/2002,11,2/15/2005,5/2/2002
RC-B,1063-42894,F,Y,FARS022,ZPO-,1163-68261,Z-GL,1453-63697,4/15/2002,4/26/2002,11,2/15/2005,5/2/2002
GC-B,1063-42895,F,Y,FARS022,ZPO-,1163-68261,Z-GL,1453-63697,4/15/2002,4/26/2002,11,2/15/2005,5/2/2002
AnC-,1513-50958,M,Y,PUMP012,ZAB-,1163-68268,ZRG-,1163-68249,4/30/2001,5/11/2001,11,10/14/2009,5/16/2001
Pn-C,1513-50348,M,Y,PUMP993,ZAB-,1163-68268,F-FM,1163-68213,6/7/1999,6/18/1999,11,10/14/2009,6/24/1999
On-C,1513-50349,F,Y,PUMP993,ZAB-,1163-68268,F-FM,1163-68213,6/7/1999,6/18/1999,11,10/14/2009,6/24/1999
An-C,1513-50136,M,Y,PUMP991,ZAB-,1163-68268,F-FM,1163-68213,3/28/1999,4/8/1999,11,10/14/2009,4/11/1999
C-Wn,1063-43542,F,Y,SWSE031,ZAB-,1163-68268,ZL-O,1453-78068,4/13/2003,4/24/2003,11,10/14/2009,5/1/2003
C-Rn,1063-43543,F,Y,SWSE031,ZAB-,1163-68268,ZL-O,1453-78068,4/13/2003,4/24/2003,11,10/14/2009,5/1/2003
C-Gn,1063-43544,F,Y,SWSE031,ZAB-,1163-68268,ZL-O,1453-78068,4/13/2003,4/24/2003,11,10/14/2009,5/1/2003
C-Yn,1063-43545,F,Y,SWSE031,ZAB-,1163-68268,ZL-O,1453-78068,4/13/2003,4/24/2003,11,10/14/2009,5/1/2003
-OCn,1603-16666,M,Y,SWSE061,ZAB-,1163-68268,OC-Y,1063-42899,4/7/2006,4/18/2006,11,10/14/2009,4/25/2006
H-LCW,1603-16667,F,Y,SWSE061,ZAB-,1163-68268,OC-Y,1063-42899,4/7/2006,4/18/2006,11,10/14/2009,4/25/2006
-FCn,1603-16668,M,Y,SWSE061,ZAB-,1163-68268,OC-Y,1063-42899,4/7/2006,4/18/2006,11,10/14/2009,4/25/2006
H-ACW,1603-16669,F,Y,SWSE061,ZAB-,1163-68268,OC-Y,1063-42899,4/7/2006,4/18/2006,11,10/14/2009,4/25/2006
-CGL,1603-51196,F,Y,SWSE081,ZAB-,1163-68268,OC-Y,1063-42899,4/4/2008,4/15/2008,11,10/14/2009,4/22/2008
-CnH,1603-51197,F,Y,SWSE081,ZAB-,1163-68268,OC-Y,1063-42899,4/4/2008,4/15/2008,11,10/14/2009,4/22/2008
WWC-,1513-50800,F,Y,PMPN011,ZYO-,1163-68273,ZGR-,1043-44222,3/27/2001,4/7/2001,11,6/14/2001,4/13/2001
RWC-,1513-50901,F,Y,PMPN011,ZYO-,1163-68273,ZGR-,1043-44222,3/27/2001,4/7/2001,11,6/14/2001,4/13/2001
LCn-,1573-97996,F,Y,PLAZ053,-ZOR,1163-68298,ZOG-,1043-44237,5/1/2005,5/12/2005,11,8/16/2010,5/18/2005
FCL-,1573-97997,F,Y,PLAZ053,-ZOR,1163-68298,ZOG-,1043-44237,5/1/2005,5/12/2005,11,8/16/2010,5/18/2005
ACn-,1573-97998,F,Y,PLAZ053,-ZOR,1163-68298,ZOG-,1043-44237,5/1/2005,5/12/2005,11,8/16/2010,5/18/2005
C-Fn,1063-43594,M,Y,PLAZ034,-ZOR,1163-68298,ZOG-,1043-44237,5/31/2003,6/11/2003,11,8/16/2010,6/17/2003
C-AB,1063-43595,F,Y,PLAZ034,-ZOR,1163-68298,ZOG-,1043-44237,5/31/2003,6/11/2003,11,8/16/2010,6/17/2003
CH-O,1573-65969,F,Y,PLAZ041,-ZOR,1163-68298,ZOG-,1043-44237,4/8/2004,4/19/2004,11,8/16/2010,4/26/2004
CB-O,1573-65970,M,Y,PLAZ041,-ZOR,1163-68298,ZOG-,1043-44237,4/8/2004,4/19/2004,11,8/16/2010,4/26/2004
CP-n,1573-65971,F,Y,PLAZ041,-ZOR,1163-68298,ZOG-,1043-44237,4/8/2004,4/19/2004,11,8/16/2010,4/26/2004
CO-n,1573-65972,M,Y,PLAZ041,-ZOR,1163-68298,ZOG-,1043-44237,4/8/2004,4/19/2004,11,8/16/2010,4/26/2004
BnC-,1513-50943,M,Y,PLAZ011,-ZOR,1163-68298,ZOG-,1043-44237,4/24/2001,5/5/2001,11,8/16/2010,5/11/2001
-BCn,1603-16684,M,Y,PLAZ061,-ZOR,1163-68298,ZOG-,1043-44237,4/9/2006,4/20/2006,11,8/16/2010,4/26/2006
-PCB,1603-16685,F,Y,PLAZ061,-ZOR,1163-68298,ZOG-,1043-44237,4/9/2006,4/20/2006,11,8/16/2010,4/26/2006
-OCB,1603-16686,F,Y,PLAZ061,-ZOR,1163-68298,ZOG-,1043-44237,4/9/2006,4/20/2006,11,8/16/2010,4/26/2006
CLW-,1603-17496,F,Y,PLAZ071,-ZOR,1163-68298,ZOG-,1043-44237,4/19/2007,4/30/2007,11,8/16/2010,5/6/2007
CfHW-,1603-17497,F,Y,PLAZ071,-ZOR,1163-68298,ZOG-,1043-44237,4/19/2007,4/30/2007,11,8/16/2010,5/6/2007
CAn-,1603-17498,F,Y,PLAZ071,-ZOR,1163-68298,ZOG-,1043-44237,4/19/2007,4/30/2007,11,8/16/2010,5/6/2007
-CnO,1603-51519,F,Y,PLAZ081,-ZOR,1163-68298,ZOG-,1043-44237,4/5/2008,4/16/2008,11,8/16/2010,4/23/2008
-CPL,1603-51520,F,Y,PLAZ081,-ZOR,1163-68298,ZOG-,1043-44237,4/5/2008,4/16/2008,11,8/16/2010,4/23/2008
-CPH,1603-51521,M,Y,PLAZ081,-ZOR,1163-68298,ZOG-,1043-44237,4/5/2008,4/16/2008,11,8/16/2010,4/23/2008
BY-Q,1603-51865,M,Y,PLAZ091,-ZOR,1163-68298,ZOG-,1043-44237,4/19/2009,4/30/2009,11,8/16/2010,5/7/2009
nB-Q,1603-51866,M,Y,PLAZ091,-ZOR,1163-68298,ZOG-,1043-44237,4/19/2009,4/30/2009,11,8/16/2010,5/7/2009
nP-Q,1603-51867,M,Y,PLAZ091,-ZOR,1163-68298,ZOG-,1043-44237,4/19/2009,4/30/2009,11,8/16/2010,5/7/2009
-nWQ,1713-13931,M,Y,PLAZ104,-ZOR,1163-68298,ZOG-,1043-44237,6/14/2010,6/25/2010,11,8/16/2010,7/2/2010
-BRQ,1713-13932,F,Y,PLAZ104,-ZOR,1163-68298,ZOG-,1043-44237,6/14/2010,6/25/2010,11,8/16/2010,7/2/2010
-nGQ,1713-13933,F,Y,PLAZ104,-ZOR,1163-68298,ZOG-,1043-44237,6/14/2010,6/25/2010,11,8/16/2010,7/2/2010
